combination_number,pop_size,gen_count,mut_rate,sharpe_ratio,best_portfolio_weights
11,200,200,0.2,0.22287821851917936,"[0.0, 0.0, 0.09198552231798174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13145749452083502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43753942665622286, 0.11449958907611738, 0.0, 0.007894556451159959, 0.0, 0.21662341097768312]"
12,200,200,0.6,0.2130839652281424,"[0.0, 0.176215022417489, 0.0, 0.0, 0.0, 0.0, 0.10079893348082064, 0.0, 0.1204926076982674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45863437743119784, 0.0, 0.0, 0.0, 0.0, 0.14385905897222506]"
13,200,500,0.15,0.2250868477517407,"[0.0, 0.0486030711479686, 7.437563206323554e-05, 0.0, 0.0, 0.0, 0.0, 0.05397631421547653, 0.1261594755037131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4473461396937052, 0.16276627451936657, 0.0, 0.0, 0.0, 0.1610743492877067]"
14,200,500,0.2,0.2259522262155262,"[0.0, 0.0, 0.019911326541059204, 0.0, 0.0, 0.0, 0.008733434624268236, 0.0, 0.11199933884047014, 0.0, 0.07061164240630508, 0.0, 0.0, 0.0, 0.6424589120134054, 0.0, 0.027568457647608006, 0.0, 0.0, 0.11871688792688392]"
15,200,500,0.6,0.2201384393557714,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021515538816864764, 0.0, 0.0, 0.3097238432270769, 0.2752593410055334, 0.0, 0.0, 0.0, 0.39350127695052484]"
16,200,1000,0.15,0.23692106928232473,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5454920329878051, 0.25529784342366074, 0.0, 0.0, 0.04052242982998694, 0.15868769375854722]"
17,200,1000,0.2,0.24263014007661945,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1405146630798118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7205039221427187, 0.0, 0.0033748854338243976, 0.0, 0.0, 0.13560652934364484]"
18,200,1000,0.6,0.21733294406583314,"[0.0, 0.0, 0.18249941494435604, 0.005194977123791726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.680871508089864, 0.0, 0.0, 0.0, 0.0, 0.1314340998419884]"
19,300,200,0.15,0.23093196393802487,"[0.0, 0.041350095461497774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3085511125531165, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48035765108004674, 0.05056338611294162, 0.0, 0.0, 0.0, 0.11917775479239737]"
20,300,200,0.2,0.2464641908452021,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.795294511828883, 0.11090919568400069, 0.0, 0.0, 0.031083470594015263, 0.06271282189310101]"
21,300,200,0.6,0.21976095213105912,"[0.0, 0.13530767794104837, 0.009001923536266221, 0.07553067010965156, 0.0, 0.0, 0.0, 0.0, 0.027062842416297726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6168603565538906, 0.057373308747760206, 0.02151377108615794, 0.022483517946385555, 0.0, 0.03486593166254187]"
22,300,500,0.15,0.22710419357884504,"[0.0, 0.11675932234894597, 0.024913832241839132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4344080614444025, 0.2542247627059376, 0.0, 0.0, 0.0, 0.16969402125887473]"
23,300,500,0.2,0.22957018598623835,"[0.0, 0.0, 0.0, 0.05789382103817293, 0.0, 0.0, 0.0, 0.019648958304417714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5327616515703706, 0.1446893404174905, 0.0, 0.0, 0.0, 0.2450062286695483]"
24,300,500,0.6,0.23458838976576438,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0035287292359867492, 0.7512582097199213, 0.24521306104409205, 0.0, 0.0, 0.0, 0.0]"
25,300,1000,0.15,0.23561667013280302,"[0.0, 0.1499518106184692, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04214066715187671, 0.0, 0.0, 0.0, 0.7241700020417066, 0.0, 0.0, 0.0, 0.0, 0.0837375201879475]"
26,300,1000,0.2,0.23763001481985443,"[0.0, 0.07735402618559824, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14700854485974654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7756374289546552, 0.0, 0.0, 0.0, 0.0, 0.0]"
