combination_number,generation,sharpe_ratio
2,68,0.213283991643399
2,69,0.213283991643399
2,70,0.213283991643399
2,71,0.213283991643399
2,72,0.213283991643399
2,73,0.213283991643399
2,74,0.21345004030663928
2,75,0.21345004030663928
2,76,0.21345004030663928
2,77,0.21345004030663928
2,78,0.21345004030663928
2,79,0.21345004030663928
2,80,0.21345004030663928
2,81,0.21381662264008267
2,82,0.21381662264008267
2,83,0.21381662264008267
2,84,0.21381662264008267
2,85,0.21381662264008267
2,86,0.21381662264008267
2,87,0.21381662264008267
2,88,0.21399255497992226
2,89,0.21399255497992226
2,90,0.21426283219029546
2,91,0.21426283219029546
2,92,0.21426283219029546
2,93,0.21426283219029546
2,94,0.21426283219029546
2,95,0.21426283219029546
2,96,0.21426283219029546
2,97,0.2148053218335452
2,98,0.2148053218335452
2,99,0.2148053218335452
2,100,0.2148053218335452
3,1,0.1288051299357373
3,2,0.14775155504561044
3,3,0.14775155504561044
3,4,0.15549094719712572
3,5,0.16573104079804993
3,6,0.17038735702031102
3,7,0.19614444243636214
3,8,0.19614444243636214
3,9,0.19614444243636214
3,10,0.19614444243636214
3,11,0.19614444243636214
3,12,0.19614444243636214
3,13,0.19614444243636214
3,14,0.19886066107945244
3,15,0.2046785554818149
3,16,0.2046785554818149
3,17,0.2046785554818149
3,18,0.2046785554818149
3,19,0.2046785554818149
3,20,0.2046785554818149
3,21,0.20644452030730975
3,22,0.20644452030730975
3,23,0.20644452030730975
3,24,0.20644452030730975
3,25,0.20644452030730975
3,26,0.20644452030730975
3,27,0.20644452030730975
3,28,0.20644452030730975
3,29,0.20644452030730975
3,30,0.20644452030730975
3,31,0.20657842465245693
3,32,0.20657842465245693
3,33,0.20845238146457507
3,34,0.20845238146457507
3,35,0.20845238146457507
3,36,0.20845238146457507
3,37,0.20845238146457507
3,38,0.20845238146457507
3,39,0.20845238146457507
3,40,0.20845238146457507
3,41,0.20845238146457507
3,42,0.20845238146457507
3,43,0.20845238146457507
3,44,0.20845238146457507
3,45,0.20845238146457507
3,46,0.20845238146457507
3,47,0.20845238146457507
3,48,0.20845238146457507
3,49,0.20845238146457507
3,50,0.20845238146457507
3,51,0.20845238146457507
3,52,0.20845238146457507
3,53,0.21072436521723087
3,54,0.21072436521723087
3,55,0.21072436521723087
3,56,0.21072436521723087
3,57,0.21072436521723087
3,58,0.21072436521723087
3,59,0.21072436521723087
3,60,0.21072436521723087
3,61,0.21072436521723087
3,62,0.21072436521723087
3,63,0.21072436521723087
3,64,0.21072436521723087
3,65,0.21133166087901678
3,66,0.21133166087901678
3,67,0.21133166087901678
3,68,0.21133166087901678
3,69,0.21133166087901678
3,70,0.21133166087901678
3,71,0.21133166087901678
3,72,0.21133166087901678
3,73,0.21150816702636843
3,74,0.21150816702636843
3,75,0.21150816702636843
3,76,0.21150816702636843
3,77,0.21150816702636843
3,78,0.21150816702636843
3,79,0.21150816702636843
3,80,0.21150816702636843
3,81,0.21150816702636843
3,82,0.21150816702636843
3,83,0.21150816702636843
3,84,0.21150816702636843
3,85,0.21150816702636843
3,86,0.21263198266118313
3,87,0.21263198266118313
3,88,0.21263198266118313
3,89,0.21263198266118313
3,90,0.2130684265775126
3,91,0.2130684265775126
3,92,0.2130684265775126
3,93,0.2130684265775126
3,94,0.2130684265775126
3,95,0.21314902645157927
3,96,0.21369606544703698
3,97,0.21369606544703698
3,98,0.2160337020755323
3,99,0.2160337020755323
3,100,0.2160337020755323
3,101,0.2166200475233509
3,102,0.2166200475233509
3,103,0.2166200475233509
3,104,0.2166200475233509
3,105,0.2166200475233509
3,106,0.2166200475233509
3,107,0.2166200475233509
3,108,0.2166200475233509
3,109,0.2166200475233509
3,110,0.2166200475233509
3,111,0.2166200475233509
3,112,0.21761772951248007
3,113,0.21761772951248007
3,114,0.21761772951248007
3,115,0.21761772951248007
3,116,0.21761772951248007
3,117,0.21807833498002224
3,118,0.21807833498002224
3,119,0.21831604831942122
3,120,0.21831604831942122
3,121,0.21831604831942122
3,122,0.21831604831942122
3,123,0.21864283355302933
3,124,0.22096917812766656
3,125,0.22096917812766656
3,126,0.22096917812766656
3,127,0.22096917812766656
3,128,0.22096917812766656
3,129,0.22096917812766656
3,130,0.22096917812766656
3,131,0.22265863951337517
3,132,0.22265863951337517
3,133,0.22291747987679
3,134,0.22291747987679
3,135,0.22348101722913968
3,136,0.22373574153020578
3,137,0.2237573846589773
3,138,0.22389654992746036
3,139,0.22505254529604526
3,140,0.22505254529604526
3,141,0.22505254529604526
3,142,0.22505254529604526
3,143,0.22509148251401712
3,144,0.22520109813605457
3,145,0.2258690670634119
3,146,0.2258690670634119
3,147,0.22699077592342867
3,148,0.22699077592342867
3,149,0.228714055611749
3,150,0.2316151831203427
3,151,0.2324627183632037
3,152,0.23277301557156604
3,153,0.23300065708775566
3,154,0.23502179716999866
3,155,0.2363250983299917
3,156,0.2385049489591449
3,157,0.2385049489591449
3,158,0.23991145217258011
3,159,0.23991145217258011
3,160,0.24143965395998734
3,161,0.24285454305878082
3,162,0.24285454305878082
3,163,0.24312020725839448
3,164,0.24312020725839448
3,165,0.2432364404647865
3,166,0.2432364404647865
3,167,0.24510294810161284
3,168,0.24510294810161284
3,169,0.24561540226133816
3,170,0.2458489308007708
3,171,0.2458489308007708
3,172,0.2458489308007708
3,173,0.2464103057442701
3,174,0.24717131981204993
3,175,0.24717131981204993
3,176,0.24717131981204993
3,177,0.24728918255345309
3,178,0.24728918255345309
3,179,0.24730452619392831
3,180,0.24730452619392831
3,181,0.247341290095423
3,182,0.247341290095423
3,183,0.24760280511672625
3,184,0.24768797071204499
3,185,0.24768797071204499
3,186,0.24831287195059176
3,187,0.24841014214642174
3,188,0.24841014214642174
3,189,0.24841014214642174
3,190,0.24841014214642174
3,191,0.24841014214642174
3,192,0.24841014214642174
3,193,0.24841014214642174
3,194,0.24850700864962455
3,195,0.24850700864962455
3,196,0.24850700864962455
3,197,0.2487359726715996
3,198,0.2487359726715996
3,199,0.2487359726715996
3,200,0.2487359726715996
4,1,0.15443705557506604
4,2,0.17742473406416037
4,3,0.19236008995339318
4,4,0.21054096997673774
4,5,0.21054096997673774
4,6,0.21511139550856118
4,7,0.2209711035967923
4,8,0.2209711035967923
4,9,0.2209711035967923
4,10,0.2209711035967923
4,11,0.2209711035967923
4,12,0.22289968249573874
4,13,0.2244725143821382
4,14,0.2244725143821382
4,15,0.23037212115099218
4,16,0.23037212115099218
4,17,0.23331808860198802
4,18,0.23332589872789117
4,19,0.23332589872789117
4,20,0.23579945380314243
4,21,0.23579945380314243
4,22,0.23579945380314243
4,23,0.23579945380314243
4,24,0.23646136786535588
4,25,0.2369606888651291
4,26,0.2369606888651291
4,27,0.23717623871984592
4,28,0.2381457540405436
4,29,0.2381457540405436
4,30,0.23906100196190902
4,31,0.23906100196190902
4,32,0.23929823693869434
4,33,0.24119899546774803
4,34,0.24119899546774803
4,35,0.24119899546774803
4,36,0.24119899546774803
4,37,0.24119899546774803
4,38,0.24171905761452747
4,39,0.24171905761452747
4,40,0.24243029051533468
4,41,0.24243029051533468
4,42,0.24374648580643152
4,43,0.24374648580643152
4,44,0.24383857465693443
4,45,0.2441698748912769
4,46,0.2448038623053891
4,47,0.24583604613965881
4,48,0.24583604613965881
4,49,0.24583604613965881
4,50,0.24583604613965881
5,1,0.17134990273055975
5,2,0.17750755038346108
5,3,0.18212002423221055
5,4,0.19545191807381984
5,5,0.21264142218495963
5,6,0.22743410687234034
5,7,0.22743410687234034
5,8,0.22743410687234034
5,9,0.22743410687234034
5,10,0.22926995965007638
5,11,0.22926995965007638
5,12,0.22997040948349645
5,13,0.23070413546095533
5,14,0.23070413546095533
5,15,0.23395121328633858
5,16,0.23395121328633858
5,17,0.23395121328633858
5,18,0.23881313641841137
5,19,0.23881313641841137
5,20,0.24234176159894852
5,21,0.24234176159894852
5,22,0.24234176159894852
5,23,0.24234176159894852
5,24,0.24234176159894852
5,25,0.24234176159894852
5,26,0.24234176159894852
5,27,0.24234176159894852
5,28,0.24234176159894852
5,29,0.24234176159894852
5,30,0.24274932363400215
5,31,0.24274932363400215
5,32,0.2441995009879258
5,33,0.2455006563505957
5,34,0.2455006563505957
5,35,0.24590789088262704
5,36,0.24590789088262704
5,37,0.24590789088262704
5,38,0.24590789088262704
5,39,0.24590789088262704
5,40,0.24624062716892528
5,41,0.24624062716892528
5,42,0.24624062716892528
5,43,0.24703104101558304
5,44,0.24703104101558304
5,45,0.24703104101558304
5,46,0.24703104101558304
5,47,0.24703104101558304
5,48,0.24703104101558304
5,49,0.24734223008339318
5,50,0.24734223008339318
5,51,0.24734223008339318
5,52,0.24734223008339318
5,53,0.24749643153166556
5,54,0.24749643153166556
5,55,0.24761793568516285
5,56,0.24782273732498206
5,57,0.24796628235171575
5,58,0.24796628235171575
5,59,0.24796628235171575
5,60,0.24796628235171575
5,61,0.24818775771502302
5,62,0.24818775771502302
5,63,0.24818775771502302
5,64,0.24818775771502302
5,65,0.24822081634792054
5,66,0.24823685697571507
5,67,0.24823685697571507
5,68,0.24823685697571507
