combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
21,20,50,0.01,0.5,0.22225039441530162,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06562461924710847, 0.0, 0.0, 0.01119137146744884, 0.01130369470355901, 0.0, 0.008511148657970292, 0.026208134712647498, 0.0, 0.6084033529194818, 0.06947364511618478, 0.0049746597699130025, 0.0, 0.010811670604097831, 0.18349770280158853]"
22,20,50,0.05,0.1,0.22609147900566093,"[0.0, 0.0, 0.004162538519920075, 0.01626191855471603, 0.028491856304233964, 0.0, 0.0, 0.0037928193596454, 0.0, 0.0, 0.0, 0.030304710331706144, 0.0, 0.005026935101603989, 0.755050254121939, 0.0, 0.019328918675174743, 0.0, 0.03340709569621691, 0.10417295333484376]"
23,20,50,0.05,0.3,0.21644263735036157,"[0.0, 0.0, 0.06635124626967927, 0.00344819348837489, 0.0, 0.0, 0.0, 0.0, 0.08441818827133075, 0.0, 0.02778116687946444, 0.0, 0.0013231061814711483, 0.01086798720748061, 0.6000895494827878, 0.1449415561884362, 0.0, 0.05734682808295293, 0.003432177948021941, 0.0]"
24,20,50,0.05,0.5,0.2359080066224701,"[0.007435980336430546, 0.0, 0.025285191030838455, 0.033404711663002976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0049194520571287405, 0.0, 0.0, 0.7821548387744041, 0.09550111296883815, 0.0, 0.0, 0.0012488299393913587, 0.050049883229965654]"
25,20,50,0.1,0.1,0.21270602438030178,"[0.0, 0.0, 0.0, 0.0562869350570546, 0.020779772753420047, 0.0, 0.0433529849887999, 0.0, 0.048107457536164494, 0.0, 0.0, 0.006556787153076795, 0.042850248465839944, 0.006896379729412499, 0.45173764123364196, 0.09724832013547746, 0.0, 0.0, 0.0, 0.22618347294711225]"
26,20,50,0.1,0.3,0.22011055420041442,"[0.0, 0.012124520604521157, 0.0, 0.004085545241109349, 0.008588287379533288, 0.0, 0.000988633652260673, 0.0, 0.04630701296792839, 0.011000166676217128, 0.0, 0.0, 0.0, 0.0, 0.5049107533820514, 0.0019399531823128928, 0.000994849001781534, 0.02195631764723737, 0.020547473181594902, 0.36655648708345184]"
27,20,50,0.1,0.5,0.21360091130632702,"[0.015403772675483677, 0.0, 0.030055283029204218, 0.0, 0.0, 0.0, 0.0, 0.005901071991765553, 0.14077567441309607, 0.0, 0.004536089328359185, 0.026407530290351457, 0.0, 0.0, 0.27297835805932885, 0.32111589370398225, 0.0020073926623076447, 0.007229222255076098, 0.0071702511067241155, 0.16641946048432085]"
28,20,50,0.01,0.1,0.2268905909991662,"[0.0, 0.003996967247582212, 0.010227396992446075, 0.06543617048683364, 0.0, 0.011663484381088543, 0.0, 0.004668609119685114, 0.14917937338432485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7471143405108783, 0.0, 0.0, 0.0, 0.007713657877161104, 0.0]"
29,20,50,0.01,0.3,0.20669119282767512,"[0.0, 0.03088387466789177, 0.0, 0.020034877996380377, 0.0, 0.03149879422336106, 0.0, 0.002654819619192687, 0.023260368483887427, 0.0014254997924648548, 0.0, 0.010689593863306127, 0.012277237812993815, 0.0, 0.010446844206465142, 0.547524288169806, 0.0, 0.0, 0.0, 0.3093038011642507]"
30,20,50,0.01,0.5,0.21036737157187926,"[0.011604747058507617, 0.013041775741363037, 0.0, 0.0, 0.0, 0.0011346603322476322, 0.0015804247629920736, 0.0, 0.025808875367468936, 0.0, 0.006272410601993473, 0.0, 0.013063831768712522, 0.0, 0.020435766193137774, 0.5172654493680028, 0.0, 0.0, 0.0, 0.3897920588055742]"
31,20,50,0.05,0.1,0.21542462818481653,"[0.014652473398607667, 0.0, 0.0, 0.0, 0.0, 0.018531449385654947, 0.0768020288517168, 0.0, 0.0, 0.014704323703692464, 0.0, 0.0, 0.03412251463410595, 0.0, 0.7335781815640985, 0.0, 0.0, 0.0, 0.0026460538127841067, 0.10496297464933964]"
32,20,50,0.05,0.3,0.2246156045411065,"[0.0, 0.0, 0.0, 0.0, 0.0506456695970134, 0.0, 0.002167423201095081, 0.0037201774518052194, 0.0, 0.0, 0.0, 0.0318401463349742, 0.0, 0.0, 0.6334980261942341, 0.00325687182500996, 0.0, 0.0, 0.028945960923528528, 0.24592572447233968]"
33,20,50,0.05,0.5,0.23862141877477125,"[0.0, 0.0, 0.0031392015816830883, 0.0, 0.0014136376430199887, 0.006228064063344201, 0.0011199736506920335, 0.0, 0.12218908549890925, 0.0017530547507304784, 0.00019324283472653232, 0.0, 0.0, 0.0, 0.7308585265141161, 0.02537895583211785, 0.01903852756658152, 0.003717456316803245, 0.0, 0.08497027374727581]"
34,20,50,0.1,0.1,0.23494236633980184,"[0.0, 0.0, 0.0050381249263225635, 0.0, 0.0, 0.003455158528666053, 0.013299221337690485, 0.0171387344539253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6225424107832244, 0.15562641216648423, 0.0, 0.02232744166909667, 0.03828374845857362, 0.12228874767601652]"
35,20,50,0.1,0.3,0.23605827450484312,"[0.0, 0.0, 0.008819111728227021, 0.02692955901238989, 0.0007954195663918786, 0.0, 0.0004889960360046662, 0.0, 0.07270439789244447, 0.0, 0.0052416810434355995, 0.007965907535475353, 0.0, 0.0, 0.5962462545482011, 0.10338173539442552, 0.0, 0.0, 0.0, 0.17742693724300446]"
36,20,50,0.1,0.5,0.22151462802657487,"[0.0, 0.0, 0.0, 0.04943854218959658, 0.0005400631472463121, 0.0, 0.0009348803691753566, 0.027596975226623324, 0.0, 0.030230008990040858, 0.0, 0.0, 0.0, 0.0, 0.636007165485023, 0.0, 0.01595807447959541, 0.008667077067144048, 0.02301305346914761, 0.20761415957640753]"
37,20,50,0.01,0.1,0.2040639765031567,"[0.0, 0.01721844500086414, 0.0, 0.0, 0.0, 0.0, 0.006165337765088533, 0.0, 0.12881944856078711, 0.0, 0.05543747205898724, 0.0, 0.0, 0.0, 0.23770858886111138, 0.3631962762041633, 0.037221040436475894, 0.028797386461982606, 0.061463887566127, 0.06397211708441267]"
38,20,50,0.01,0.3,0.21753662215731112,"[0.0, 0.16843047928895988, 0.0, 0.0, 0.0, 0.0, 0.016847195303804123, 0.00025934256542018823, 0.026527542474442122, 0.0, 0.02043956732856378, 0.0, 0.0060661374822499605, 0.0, 0.49981229898583857, 0.0, 0.0, 0.10008114048714585, 0.0259837773659552, 0.13555251871762047]"
39,20,50,0.01,0.5,0.22026296244185814,"[0.0, 0.014323685620266152, 0.042386976979977314, 0.027124204291613604, 0.0, 0.016248768989300715, 0.0, 0.0, 0.04217115103687361, 0.0016386600860494103, 0.09261203959989445, 0.0, 0.0, 0.0, 0.7454812436876506, 0.0, 0.0, 0.0, 0.0, 0.018013269708374195]"
40,20,50,0.05,0.1,0.21638316690627082,"[0.0, 0.04956750230190153, 0.0, 0.04551803844870147, 0.0, 0.018328054252958484, 0.0005991270331205046, 0.0, 0.0, 0.003611383484183243, 0.0, 0.006363689673515526, 0.0, 0.0062157201804979535, 0.35828903388493333, 0.1532184168552546, 0.0, 0.0, 0.0, 0.35828903388493333]"
41,20,50,0.05,0.3,0.20405494465134352,"[0.0, 0.0, 0.0, 0.0036558907322630355, 0.0, 0.0, 0.0, 0.014171748941026028, 0.2472273099316738, 0.08663928154023257, 0.0, 0.01734937818613757, 0.0, 0.0, 0.39824152776452326, 0.09368920599196479, 0.0, 0.07972150590111222, 0.0, 0.05930415101106691]"
42,20,50,0.05,0.5,0.22112733576764934,"[0.0, 0.0, 0.0, 0.0, 0.021042746473630764, 0.0, 0.011074922392708077, 0.0022863093548206813, 0.11272394781453765, 0.019652800043043102, 0.12976161639491018, 0.0002051204170046966, 0.004747137513846401, 0.0, 0.6053262352945528, 0.013889639288526295, 0.0, 0.0031371800429257704, 0.0, 0.07615234496949345]"
43,20,50,0.1,0.1,0.22150966229966976,"[0.005384972912804768, 0.0, 0.0, 0.0029126769613075938, 0.0, 0.0, 0.0, 0.020317825367265657, 0.03386426907526716, 0.030543962721784137, 0.05868341522118122, 0.005426802241582129, 0.0, 0.0007888411231480308, 0.8116600263625829, 0.0, 0.011964264341806377, 0.00035822852148786183, 0.0, 0.01809471514978203]"
44,20,50,0.1,0.3,0.21008514246349938,"[0.0, 0.025928502467503365, 0.015927113044510225, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12587418489376637, 0.0, 0.0, 0.0, 0.0, 0.0011340316016736154, 0.04352628533220743, 0.3149790248436201, 0.0, 0.0, 0.0, 0.47263085781671893]"
45,20,50,0.1,0.5,0.19025436869865123,"[0.0, 0.03744966449501474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01921537009991055, 0.0, 0.10769339290074441, 0.018664221832966305, 0.05235768870705443, 0.0, 0.007524611308983925, 0.1412251031811544, 0.0, 0.0, 0.11986274988127518, 0.496007197592896]"
46,20,50,0.01,0.1,0.2224361099829291,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.009764413433251615, 0.0, 0.01890471872076193, 0.021143819388430844, 0.0, 0.0, 0.047168230151582405, 0.009545765307965727, 0.0, 0.6543327479596016, 0.0, 0.0027507924858422923, 0.0, 0.0, 0.2363895125525635]"
47,20,50,0.01,0.3,0.18851757818668666,"[0.0, 0.04900165835304238, 0.029311305777910412, 0.06825531673407684, 0.0, 0.04786171824707298, 0.021653696572199684, 0.001604405303679572, 0.2917004950154906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005857698676972837, 0.09100789971080962, 0.0, 0.0, 0.0507615229775226, 0.3429842826312225]"
48,20,50,0.01,0.5,0.21046787604869108,"[0.0, 0.3223067475655962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012296348128232257, 0.0, 0.0, 0.0, 0.3223067475655962, 0.04269734554870189, 0.0, 0.03973090009098644, 0.025118749452270446, 0.2355431616486164]"
