combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
30,20,100,0.1,1.0,0.21281572605552979,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2934142606232685, 0.15434907913498816, 0.0, 0.0, 0.0, 0.5522366602417433]"
31,20,200,0.01,0.1,0.17882742963701811,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.2, 0.0, 0.0]"
32,20,200,0.01,0.3,0.1852708872820048,"[0.0, 0.1979564240301397, 0.0, 0.0, 0.0, 0.0, 0.010217879849301451, 0.0, 0.0, 0.0, 0.1979564240301397, 0.0, 0.0, 0.0, 0.0, 0.1979564240301397, 0.0, 0.1979564240301397, 0.0, 0.1979564240301397]"
33,20,200,0.01,0.5,0.1962100654411051,"[0.0, 0.0, 0.0, 0.005239724097450094, 0.0, 0.08849225175945406, 0.0, 0.0, 0.0, 0.0, 0.0803045320448854, 0.0, 0.0, 0.0, 0.1862585507634478, 0.2715443712560006, 0.0, 0.1841419654610137, 0.0, 0.1840186046177484]"
34,20,200,0.01,0.8,0.18983704506468418,"[0.0, 0.198783174780263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.198783174780263, 0.0, 0.0, 0.0, 0.030793299226279828, 0.198783174780263, 0.0, 0.08551167427940089, 0.08856232737326739, 0.198783174780263]"
35,20,200,0.01,1.0,0.1930750559283313,"[0.0, 0.12024404723924556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15364378519649793, 0.15364378519649793, 0.1115370267782649, 0.0, 0.0, 0.0, 0.15364378519649793, 0.15364378519649793, 0.0, 0.0, 0.0, 0.15364378519649793]"
36,20,200,0.05,0.1,0.1877233838461437,"[0.0, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666]"
37,20,200,0.05,0.3,0.1996116518958728,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19829381229934318, 0.19829381229934318, 0.0, 0.0, 0.008530938503284177, 0.0, 0.19829381229934318, 0.19829381229934318, 0.0, 0.0, 0.0, 0.19829381229934318]"
38,20,200,0.05,0.5,0.19081130277667258,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15086999801459294, 0.0, 0.15086999801459294, 0.0, 0.0, 0.0, 0.15086999801459294, 0.15086999801459294, 0.0, 0.09478001191244233, 0.15086999801459294, 0.15086999801459294]"
39,20,200,0.05,0.8,0.19185975638352623,"[0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]"
