Date,Open,High,Low,Close,Adj Close,Volume
2019-01-28,3.413750,3.541000,3.275000,3.450250,3.423009,2511528000
2019-01-29,3.403750,3.452500,3.275250,3.290000,3.264024,1153932000
2019-01-30,3.366750,3.449250,3.286500,3.434750,3.407631,974228000
2019-01-31,3.431500,3.629750,3.409500,3.593750,3.565375,842852000
2019-02-01,3.612500,3.669750,3.564500,3.618250,3.589682,625048000
2019-02-04,3.634250,3.767000,3.612000,3.729500,3.700054,528592000
2019-02-05,3.741500,3.785750,3.707500,3.748750,3.719151,542424000
2019-02-06,3.782250,3.890000,3.776750,3.825000,3.794800,702464000
2019-02-07,3.778250,3.780500,3.642250,3.685500,3.656401,637120000
2019-02-08,3.617750,3.715000,3.603250,3.704250,3.675004,461604000
2019-02-11,3.659750,3.714500,3.612500,3.661250,3.632342,495180000
2019-02-12,3.700000,3.795000,3.685500,3.779250,3.749411,591060000
2019-02-13,3.809000,3.895750,3.795250,3.822000,3.791823,605372000
2019-02-14,3.821000,3.891750,3.777500,3.863250,3.832748,827264000
2019-02-15,4.073750,4.096750,3.910500,3.933500,3.902443,1516748000
2019-02-19,3.922750,3.997250,3.903500,3.916000,3.885081,551892000
2019-02-20,3.945500,4.031500,3.934250,3.963750,3.932453,540988000
2019-02-21,3.976500,4.001250,3.879500,3.894250,3.863503,448548000
2019-02-22,3.946500,3.998750,3.932750,3.979750,3.948328,401740000
2019-02-25,4.064000,4.132000,3.958500,3.967250,3.935926,656020000
2019-02-26,3.962500,4.019000,3.893750,3.927500,3.896491,488464000
2019-02-27,3.913000,3.939750,3.827750,3.885250,3.854574,500256000
2019-02-28,3.875000,3.897500,3.834000,3.856500,3.829994,324944000
2019-03-01,3.906750,3.953750,3.848000,3.911250,3.884367,357188000
2019-03-04,3.950000,3.973000,3.862500,3.919500,3.892561,409992000
2019-03-05,3.903750,3.951500,3.849000,3.913000,3.886106,362924000
2019-03-06,3.904000,3.912500,3.798500,3.801250,3.775124,403524000
2019-03-07,3.777500,3.787250,3.685000,3.731500,3.705853,450104000
2019-03-08,3.641500,3.776750,3.620000,3.766000,3.740116,422416000
2019-03-11,3.789750,4.051500,3.742250,4.028500,4.000812,859728000
2019-03-12,4.056500,4.109750,3.979750,4.063000,4.035075,579576000
2019-03-13,4.100750,4.245000,4.093250,4.215500,4.186527,768900000
2019-03-14,4.224750,4.236750,4.131250,4.139000,4.110552,519384000
2019-03-15,4.182500,4.288250,4.179000,4.245250,4.216073,661484000
2019-03-18,4.277000,4.331250,4.196500,4.223750,4.194720,486992000
2019-03-19,4.319000,4.437500,4.302000,4.392750,4.362558,854972000
2019-03-20,4.422000,4.475750,4.325000,4.360000,4.330035,719148000
2019-03-21,4.383250,4.625000,4.378250,4.598500,4.566895,824312000
2019-03-22,4.571000,4.620000,4.423500,4.437500,4.407001,747644000
2019-03-25,4.396500,4.461250,4.277750,4.344500,4.314640,525212000
2019-03-26,4.487250,4.543750,4.365000,4.421750,4.391361,703508000
2019-03-27,4.447500,4.494250,4.342500,4.412500,4.382172,474372000
2019-03-28,4.438750,4.497500,4.377750,4.431250,4.400794,480264000
2019-03-29,4.498500,4.513500,4.447750,4.489000,4.458148,456896000
2019-04-01,4.581500,4.587500,4.509250,4.557000,4.525680,483824000
2019-04-02,4.581250,4.619750,4.538000,4.575000,4.543555,440920000
2019-04-03,4.625000,4.775000,4.620000,4.715500,4.683090,783504000
2019-04-04,4.700000,4.749250,4.643250,4.706500,4.674152,457376000
2019-04-05,4.750000,4.791250,4.713250,4.773750,4.740940,481744000
2019-04-08,4.743000,4.820000,4.718750,4.794750,4.761795,424192000
2019-04-09,4.761000,4.772250,4.689000,4.731500,4.698980,439972000
2019-04-10,4.730750,4.828500,4.726250,4.802500,4.769492,444772000
2019-04-11,4.805000,4.836750,4.738750,4.788500,4.755589,374600000
2019-04-12,4.827500,4.831500,4.741500,4.750250,4.717600,471708000
2019-04-15,4.742500,4.747500,4.577500,4.617500,4.585764,440092000
2019-04-16,4.657000,4.724250,4.624000,4.705250,4.672911,394964000
2019-04-17,4.740500,4.761500,4.659750,4.682250,4.650068,351004000
2019-04-18,4.689000,4.723250,4.629500,4.657500,4.625488,380988000
2019-04-22,4.633750,4.727500,4.602000,4.711750,4.679367,279936000
2019-04-23,4.725000,4.798250,4.715250,4.766750,4.733987,346856000
2019-04-24,4.777250,4.820250,4.716000,4.779250,4.746401,318204000
2019-04-25,4.738750,4.761250,4.592500,4.672750,4.640634,499296000
2019-04-26,4.517750,4.522250,4.332500,4.452250,4.421650,868988000
2019-04-29,4.460250,4.511250,4.387500,4.483250,4.452436,391920000
2019-04-30,4.450750,4.550750,4.431500,4.525000,4.493900,362920000
2019-05-01,4.577750,4.620250,4.511500,4.511750,4.480742,354280000
2019-05-02,4.521500,4.621750,4.478000,4.579750,4.548273,394684000
2019-05-03,4.588250,4.598250,4.513250,4.575250,4.543803,336824000
2019-05-06,4.387500,4.508500,4.350000,4.496250,4.465347,422176000
2019-05-07,4.447500,4.447500,4.279250,4.327750,4.298006,555220000
2019-05-08,4.300000,4.428750,4.288000,4.348000,4.318116,419168000
2019-05-09,4.278500,4.288250,4.135000,4.254750,4.225507,660248000
2019-05-10,4.223750,4.289750,4.100000,4.220500,4.191491,569500000
2019-05-13,4.087500,4.110750,3.945250,3.961250,3.934024,656912000
2019-05-14,4.001250,4.086500,3.962250,4.051000,4.023156,524880000
2019-05-15,3.995000,4.026250,3.935250,3.989500,3.962080,502320000
2019-05-16,3.984000,4.047750,3.941250,4.004750,3.977224,781088000
2019-05-17,3.962500,4.092750,3.873500,3.913250,3.886354,1022068000
2019-05-20,3.813750,3.869250,3.768750,3.793750,3.767675,572064000
2019-05-21,3.855000,3.892500,3.816000,3.876500,3.849856,361848000
2019-05-22,3.837500,3.863750,3.794000,3.805000,3.778848,325868000
